lines: "294"
2025/05/26 2525296/14659894
2025/05/25 494594/1285536
2025/05/24 212774/2829769
2025/05/23 178083/1405293
2025/05/22 245517/2148017
2025/05/21 572209/15102486
2025/05/20 671478/2537022
2025/05/19 148974/2521504
2025/05/18 261294/1745413
2025/05/17 436791/7004118
2025/05/16 148397/1471204
2025/05/15 378812/6325136
2025/05/14 262801/3192690
2025/05/13 254467/1237761
2025/05/12 676899/8832688
2025/05/11 798840/2522669
2025/05/10 248880/1236508
2025/05/09 307663/3909663
2025/05/08 575393/17929597
2025/05/07 251185/3397527
2025/05/06 183491/1782913
2025/05/05 515437/19089033
2025/05/04 2315584/57610322
2025/05/03 221731/2636781
2025/05/02 187804/1649277
2025/05/01 190292/1455348
2025/04/30 169120/2211264
2025/04/29 393760/5387837
2025/04/28 1056915/2806682
2025/04/27 147891/2558069
2025/04/26 83377/1405129
2025/04/25 173711/3548037
2025/04/24 212738/2152727
2025/04/23 257312/3426349
2025/04/22 114881/2444128
2025/04/21 194707/2343992
2025/04/20 210549/2773688
2025/04/19 334602/7264726
2025/04/18 64935/1048049
2025/04/17 261198/4466205
2025/04/16 476477/8500454
2025/04/15 566388/3696254
2025/04/14 224852/3039938
2025/04/13 248755/3083144
2025/04/12 186876/2934588
2025/04/11 263300/3406423
2025/04/10 178577/2005108
2025/04/09 294934/2239398
2025/04/08 244209/913816
2025/04/07 140230/1531946
2025/04/06 184106/2456137
2025/04/05 913171/2224920
2025/04/04 968661/2007575
2025/04/03 469386/2710535
2025/04/02 318743/9824640
2025/04/01 162741/2515200
2025/03/31 327263/7400430
2025/03/30 227545/3045164
2025/03/29 150625/2175501
2025/03/28 550831/9509859
2025/03/27 317444/3681947
2025/03/26 214331/2468875
2025/03/25 231539/3277794
2025/03/24 164440/1940724
2025/03/23 200959/2518117
2025/03/22 199575/3342941
2025/03/21 276271/7124530
2025/03/20 524829/10359616
2025/03/19 125507/1426082
2025/03/18 1049826/3505440
2025/03/17 134808/1725283
2025/03/16 213798/2996217
2025/03/15 236822/4573613
2025/03/14 2414564/3454287
2025/03/13 165462/2701771
2025/03/12 138348/2435817
2025/03/11 201779/2773691
2025/03/10 212111/4104827
2025/03/09 169275/3215810
2025/03/08 203213/3613558
2025/03/07 183519/2704937
2025/03/06 236862/4283063
2025/03/05 277795/5287794
2025/03/04 185949/3813578
2025/03/03 162132/1888850
2025/03/02 165632/2786294
2025/03/01 316922/3069463
2025/02/28 358306/8769702
2025/02/27 201622/3131894
2025/02/26 301958/7868098
2025/02/25 119178/2034244
2025/02/24 222487/4342573
2025/02/23 151981/2127404
2025/02/22 210639/3296422
2025/02/21 9688/232253
2025/02/11 146039/1975056
2025/02/09 185831/4092742
2025/02/08 157967/2377767
2025/02/07 2539470/3195446
2025/02/06 165103/3849008
2025/02/05 1757492/127871147
2025/02/04 56957/970664
2025/02/03 52642/977263
2025/02/02 41006/763284
2025/02/01 48440/608254
2025/01/31 35616/544463
2025/01/30 443758/1898833
2025/01/29 116173/1763535
2025/01/28 122648/1912045
2025/01/27 74100/1380483
2025/01/26 179825/5598593
2025/01/25 4218279/1439919
2025/01/24 1027198/4037605
2025/01/23 864279/5185433
2025/01/22 56393/867291
2025/01/21 52602/1758076
2025/01/20 247475/4420199
2025/01/19 219439/3844111
2025/01/18 222330/4192858
2025/01/17 263020/4429611
2025/01/16 233030/4177346
2025/01/15 833828/23103668
2025/01/14 247219/3923583
2025/01/13 1887318/36766951
2025/01/12 981789/11956837
2025/01/11 325766/1860745
2025/01/10 335185/2722632
2025/01/09 374029/3131607
2025/01/08 316593/3119056
2025/01/07 311324/3222033
2025/01/06 346135/3309637
2025/01/05 1297087/41556885
2025/01/04 984195/3995067
2025/01/03 356292/4312920
2025/01/02 1106315/5599564
2025/01/01 3731782/142069051
2024/12/31 319257/7039166
